id,年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
90,2024,1,8,月,にら,32800,大　分,44,2336,836,,
91,2024,1,8,月,セルリー,32900,,,40329,236,69.3,101.7
92,2024,1,8,月,セルリー,32900,静　岡,22,19252,243,,
93,2024,1,8,月,セルリー,32900,福　岡,40,10910,228,,
94,2024,1,8,月,セルリー,32900,愛　知,23,4250,240,,
95,2024,1,8,月,アスパラガス,33100,,,4945,2614,60.9,101
96,2024,1,8,月,アスパラガス,33100,岩　手,3,479,2826,,
97,2024,1,8,月,アスパラガス,33100,秋　田,5,282,2603,,
98,2024,1,8,月,アスパラガス,33100,群　馬,10,223,3034,,
99,2024,1,8,月,アスパラガス,33100,長　野,20,31,2694,,
100,2024,1,8,月,アスパラガス,33100,新　潟,15,4,2625,,
101,2024,1,8,月,　　うち輸入,33101,,,3926,2564,55.7,100.5
102,2024,1,8,月,カリフラワー,33200,,,51153,187,78.2,94.9
103,2024,1,8,月,カリフラワー,33200,熊　本,43,17879,192,,
104,2024,1,8,月,カリフラワー,33200,愛　知,23,11808,166,,
105,2024,1,8,月,カリフラワー,33200,徳　島,36,7597,207,,
106,2024,1,8,月,カリフラワー,33200,埼　玉,11,3600,185,,
107,2024,1,8,月,カリフラワー,33200,神奈川,14,2444,178,,
108,2024,1,8,月,ブロッコリー,33300,,,383041,265,92.9,103.9
109,2024,1,8,月,ブロッコリー,33300,愛　知,23,90120,178,,
110,2024,1,8,月,ブロッコリー,33300,香　川,37,86246,325,,
111,2024,1,8,月,ブロッコリー,33300,熊　本,43,40599,319,,
112,2024,1,8,月,ブロッコリー,33300,鳥　取,31,36210,301,,
113,2024,1,8,月,ブロッコリー,33300,徳　島,36,35534,265,,
114,2024,1,8,月,レタス,33400,,,650694,263,92.8,97.4
115,2024,1,8,月,レタス,33400,静　岡,22,142345,269,,
116,2024,1,8,月,レタス,33400,長　崎,42,107471,153,,
117,2024,1,8,月,レタス,33400,兵　庫,28,93937,311,,
118,2024,1,8,月,レタス,33400,福　岡,40,56080,331,,
119,2024,1,8,月,レタス,33400,香　川,37,54902,280,,
120,2024,1,8,月,パセリ,33600,,,3885,1414,88.7,87
121,2024,1,8,月,パセリ,33600,千　葉,12,1358,1222,,
122,2024,1,8,月,パセリ,33600,静　岡,22,1110,1380,,
123,2024,1,8,月,パセリ,33600,香　川,37,459,1137,,
124,2024,1,8,月,パセリ,33600,愛　知,23,355,2035,,
125,2024,1,8,月,きゅうり,34100,,,565287,392,140.3,97.8
126,2024,1,8,月,きゅうり,34100,宮　崎,45,278822,408,,
127,2024,1,8,月,きゅうり,34100,高　知,39,92713,387,,
128,2024,1,8,月,きゅうり,34100,鹿児島,46,43428,345,,
129,2024,1,8,月,きゅうり,34100,愛　知,23,38010,361,,
130,2024,1,8,月,かぼちゃ,34200,,,149388,207,78.1,92.4
131,2024,1,8,月,かぼちゃ,34200,宮　崎,45,14996,515,,
132,2024,1,8,月,かぼちゃ,34200,鹿児島,46,13190,343,,
133,2024,1,8,月,かぼちゃ,34200,北海道,1,2963,52,,
134,2024,1,8,月,かぼちゃ,34200,沖　縄,47,758,172,,
135,2024,1,8,月,かぼちゃ,34200,熊　本,43,542,477,,
136,2024,1,8,月,　　うち輸入,34201,,,115245,152,89.4,98.1
137,2024,1,8,月,なす,34300,,,233279,376,109.6,100.8
138,2024,1,8,月,なす,34300,高　知,39,114151,376,,
139,2024,1,8,月,なす,34300,熊　本,43,74579,349,,
140,2024,1,8,月,トマト,34400,,,807519,250,107.1,101.2
141,2024,1,8,月,トマト,34400,熊　本,43,505900,216,,
142,2024,1,8,月,トマト,34400,愛　知,23,112898,289,,
143,2024,1,8,月,トマト,34400,栃　木,9,58424,245,,
144,2024,1,8,月,ミニトマト,34450,,,415815,395,112.3,98
145,2024,1,8,月,ミニトマト,34450,熊　本,43,244221,344,,
146,2024,1,8,月,ミニトマト,34450,愛　知,23,47951,493,,
147,2024,1,8,月,ミニトマト,34450,宮　崎,45,34128,367,,
148,2024,1,8,月,ミニトマト,34450,静　岡,22,22745,420,,
149,2024,1,8,月,ピーマン,34500,,,239502,482,150.4,102.6
150,2024,1,8,月,ピーマン,34500,宮　崎,45,104917,489,,
151,2024,1,8,月,ピーマン,34500,鹿児島,46,47857,452,,
152,2024,1,8,月,ピーマン,34500,高　知,39,45156,467,,
153,2024,1,8,月,ししとうがらし,34600,,,6701,2200,91.9,94.1
154,2024,1,8,月,ししとうがらし,34600,高　知,39,5622,2302,,
155,2024,1,8,月,スイートコーン,34700,,,1195,325,121.3,74.9
156,2024,1,8,月,スイートコーン,34700,沖　縄,47,1055,331,,
157,2024,1,8,月,さやいんげん,35100,,,19524,946,109.2,102
158,2024,1,8,月,さやいんげん,35100,沖　縄,47,12449,923,,
159,2024,1,8,月,さやいんげん,35100,鹿児島,46,3190,1027,,
160,2024,1,8,月,さやえんどう,35200,,,37697,871,121.8,89
161,2024,1,8,月,さやえんどう,35200,鹿児島,46,21909,798,,
162,2024,1,8,月,さやえんどう,35200,愛　知,23,5039,1005,,
163,2024,1,8,月,さやえんどう,35200,和歌山,30,3846,970,,
164,2024,1,8,月,　　うち輸入,35201,,,102,730,34.7,92.5
165,2024,1,8,月,実えんどう,35300,,,7040,717,129.6,98
166,2024,1,8,月,実えんどう,35300,鹿児島,46,4008,574,,
167,2024,1,8,月,実えんどう,35300,和歌山,30,3032,906,,
168,2024,1,8,月,そらまめ,35400,,,7262,581,114.9,102.3
169,2024,1,8,月,そらまめ,35400,鹿児島,46,7262,581,,
170,2024,1,8,月,えだまめ,35500,,,673,1411,897.3,55.8
171,2024,1,8,月,えだまめ,35500,鹿児島,46,501,1011,,
172,2024,1,8,月,えだまめ,35500,静　岡,22,118,2572,,
173,2024,1,8,月,かんしょ,36100,,,272946,264,133.6,103.1
174,2024,1,8,月,かんしょ,36100,茨　城,8,119575,236,,
175,2024,1,8,月,かんしょ,36100,千　葉,12,74720,243,,
176,2024,1,8,月,かんしょ,36100,徳　島,36,49550,337,,
177,2024,1,8,月,ばれいしょ,36200,,,585550,139,82.3,108.6
178,2024,1,8,月,ばれいしょ,36200,長　崎,42,285699,154,,
179,2024,1,8,月,ばれいしょ,36200,北海道,1,267363,117,,
180,2024,1,8,月,さといも,36300,,,57751,387,114.4,98
181,2024,1,8,月,さといも,36300,愛　媛,38,27081,379,,
182,2024,1,8,月,さといも,36300,埼　玉,11,21625,405,,
183,2024,1,8,月,やまのいも,36500,,,78209,388,73.1,98.7
184,2024,1,8,月,やまのいも,36500,北海道,1,40122,326,,
185,2024,1,8,月,やまのいも,36500,青　森,2,23597,458,,
186,2024,1,8,月,たまねぎ,36610,,,905673,212,61.5,109.3
187,2024,1,8,月,たまねぎ,36610,北海道,1,721213,205,,
188,2024,1,8,月,たまねぎ,36610,静　岡,22,107553,273,,
189,2024,1,8,月,　　うち輸入,36620,,,34774,129,72.4,109.3
190,2024,1,8,月,にんにく,36700,,,17335,1080,109.6,118.9
191,2024,1,8,月,にんにく,36700,青　森,2,10287,1473,,
192,2024,1,8,月,にんにく,36700,香　川,37,120,432,,
193,2024,1,8,月,にんにく,36700,千　葉,12,40,878,,
194,2024,1,8,月,　　うち輸入,36701,,,6887,504,71.2,100.6
195,2024,1,8,月,しょうが,37200,,,14010,595,58,110.2
196,2024,1,8,月,しょうが,37200,高　知,39,9039,619,,
197,2024,1,8,月,しょうが,37200,熊　本,43,1304,582,,
198,2024,1,8,月,しょうが,37200,千　葉,12,423,546,,
199,2024,1,8,月,しょうが,37200,長　崎,42,324,556,,
200,2024,1,8,月,しょうが,37200,茨　城,8,112,351,,
201,2024,1,8,月,　　うち輸入,37201,,,2562,511,65.5,98.3
202,2024,1,8,月,生しいたけ,38100,,,64068,1122,76.9,94.4
203,2024,1,8,月,生しいたけ,38100,徳　島,36,14257,1045,,
204,2024,1,8,月,生しいたけ,38100,秋　田,5,12840,1383,,
205,2024,1,8,月,生しいたけ,38100,岩　手,3,5106,1105,,
206,2024,1,8,月,生しいたけ,38100,千　葉,12,2606,632,,
207,2024,1,8,月,生しいたけ,38100,兵　庫,28,2563,1052,,
208,2024,1,8,月,　　うち輸入,38101,,,2037,776,89.4,103.1
209,2024,1,8,月,なめこ,38300,,,18965,465,71.2,105
210,2024,1,8,月,なめこ,38300,長　野,20,5908,494,,
211,2024,1,8,月,なめこ,38300,山　形,6,2984,497,,
212,2024,1,8,月,なめこ,38300,三　重,24,2028,545,,
213,2024,1,8,月,なめこ,38300,宮　城,4,1715,474,,
214,2024,1,8,月,なめこ,38300,新　潟,15,1630,190,,
215,2024,1,8,月,えのきだけ,38400,,,116875,437,78.9,96.7
216,2024,1,8,月,えのきだけ,38400,長　野,20,86618,441,,
217,2024,1,8,月,えのきだけ,38400,新　潟,15,13417,439,,
218,2024,1,8,月,しめじ,38500,,,79383,535,80.3,95.5
219,2024,1,8,月,しめじ,38500,長　野,20,61551,501,,
220,2024,1,8,月,しめじ,38500,福　岡,40,6212,574,,
221,2024,1,8,月,その他の野菜,39000,,,246105,929,84.2,80.8
222,2024,1,8,月,輸入野菜計,39100,,,213974,288,82,93.2
223,2024,1,8,月,他の輸入野菜,39200,,,48447,479,79.9,103
224,2024,1,15,月,野菜総計,30000,,,14097541,226,104.4,99.1
225,2024,1,15,月,野菜総計,30000,北海道,1,2197194,176,,
226,2024,1,15,月,野菜総計,30000,茨　城,8,1420921,154,,
227,2024,1,15,月,野菜総計,30000,愛　知,23,1342013,158,,
228,2024,1,15,月,野菜総計,30000,千　葉,12,1202330,162,,
229,2024,1,15,月,野菜総計,30000,長　崎,42,935317,152,,
230,2024,1,15,月,野菜総計,30000,熊　本,43,817033,290,,
231,2024,1,15,月,野菜総計,30000,鹿児島,46,712839,207,,
232,2024,1,15,月,だいこん,30100,,,1289108,67,97.2,100
233,2024,1,15,月,だいこん,30100,神奈川,14,361704,68,,
234,2024,1,15,月,だいこん,30100,千　葉,12,277997,67,,
235,2024,1,15,月,だいこん,30100,長　崎,42,229668,66,,
236,2024,1,15,月,だいこん,30100,徳　島,36,88369,70,,
237,2024,1,15,月,だいこん,30100,福　岡,40,82787,54,,
238,2024,1,15,月,かぶ,30200,,,122205,112,86.5,105.7
239,2024,1,15,月,かぶ,30200,千　葉,12,59547,124,,
240,2024,1,15,月,かぶ,30200,福　岡,40,19585,77,,
241,2024,1,15,月,かぶ,30200,埼　玉,11,10906,98,,
242,2024,1,15,月,かぶ,30200,京　都,26,9623,97,,
243,2024,1,15,月,にんじん,30300,,,855940,114,102.6,98.3
244,2024,1,15,月,にんじん,30300,千　葉,12,362127,117,,
245,2024,1,15,月,にんじん,30300,長　崎,42,176130,109,,
246,2024,1,15,月,にんじん,30300,愛　知,23,120673,117,,
247,2024,1,15,月,にんじん,30300,鹿児島,46,89150,103,,
248,2024,1,15,月,ごぼう,30400,,,92910,345,111.7,99.7
249,2024,1,15,月,ごぼう,30400,青　森,2,54586,282,,
250,2024,1,15,月,ごぼう,30400,熊　本,43,10625,625,,
251,2024,1,15,月,ごぼう,30400,茨　城,8,8322,176,,
252,2024,1,15,月,ごぼう,30400,宮　崎,45,5452,759,,
253,2024,1,15,月,たけのこ,30500,,,1670,1757,156.7,100.7
254,2024,1,15,月,たけのこ,30500,鹿児島,46,556,2265,,
255,2024,1,15,月,たけのこ,30500,福　岡,40,100,2213,,
256,2024,1,15,月,たけのこ,30500,熊　本,43,27,2188,,
257,2024,1,15,月,たけのこ,30500,京　都,26,26,3162,,
258,2024,1,15,月,たけのこ,30500,埼　玉,11,12,2565,,
259,2024,1,15,月,れんこん,30600,,,81203,346,91.1,103
260,2024,1,15,月,れんこん,30600,茨　城,8,49578,282,,
261,2024,1,15,月,れんこん,30600,佐　賀,41,11747,395,,
262,2024,1,15,月,れんこん,30600,徳　島,36,8253,549,,
263,2024,1,15,月,はくさい,31100,,,1695562,56,97.3,100
264,2024,1,15,月,はくさい,31100,茨　城,8,789622,56,,
265,2024,1,15,月,はくさい,31100,鹿児島,46,184514,44,,
266,2024,1,15,月,はくさい,31100,宮　崎,45,148605,43,,
267,2024,1,15,月,はくさい,31100,兵　庫,28,146440,69,,
268,2024,1,15,月,はくさい,31100,群　馬,10,112022,59,,
269,2024,1,15,月,みずな,31300,,,48722,335,94.9,100.6
270,2024,1,15,月,みずな,31300,茨　城,8,34872,316,,
271,2024,1,15,月,みずな,31300,福　岡,40,6788,342,,
272,2024,1,15,月,こまつな,31500,,,120295,294,94.7,101
273,2024,1,15,月,こまつな,31500,茨　城,8,65368,275,,
274,2024,1,15,月,こまつな,31500,福　岡,40,19151,342,,
275,2024,1,15,月,こまつな,31500,埼　玉,11,7784,271,,
276,2024,1,15,月,こまつな,31500,群　馬,10,3210,256,,
277,2024,1,15,月,こまつな,31500,岐　阜,21,2983,358,,
278,2024,1,15,月,その他の菜類,31550,,,7085,349,144.3,106.4
279,2024,1,15,月,ちんげんさい,31560,,,37845,300,95.1,103.4
280,2024,1,15,月,ちんげんさい,31560,茨　城,8,13330,294,,
281,2024,1,15,月,ちんげんさい,31560,静　岡,22,12123,315,,
282,2024,1,15,月,ちんげんさい,31560,福　岡,40,3183,327,,
283,2024,1,15,月,ちんげんさい,31560,愛　知,23,3064,227,,
284,2024,1,15,月,キャベツ,31700,,,1638682,75,93.6,104.2
285,2024,1,15,月,キャベツ,31700,愛　知,23,884294,74,,
286,2024,1,15,月,キャベツ,31700,千　葉,12,175222,75,,
287,2024,1,15,月,キャベツ,31700,神奈川,14,125954,78,,
288,2024,1,15,月,キャベツ,31700,福　岡,40,84809,70,,
289,2024,1,15,月,キャベツ,31700,熊　本,43,66379,68,,
290,2024,1,15,月,ほうれんそう,31800,,,191920,438,98.6,104.8
291,2024,1,15,月,ほうれんそう,31800,群　馬,10,50175,454,,
292,2024,1,15,月,ほうれんそう,31800,福　岡,40,46142,392,,
293,2024,1,15,月,ほうれんそう,31800,茨　城,8,40216,469,,
294,2024,1,15,月,ほうれんそう,31800,埼　玉,11,14511,430,,
295,2024,1,15,月,ほうれんそう,31800,徳　島,36,8890,410,,
296,2024,1,15,月,ねぎ,31900,,,493925,360,94.1,96.8
297,2024,1,15,月,ねぎ,31900,千　葉,12,81853,302,,
298,2024,1,15,月,ねぎ,31900,茨　城,8,68136,261,,
299,2024,1,15,月,ねぎ,31900,群　馬,10,61930,321,,
300,2024,1,15,月,ねぎ,31900,埼　玉,11,61165,346,,
301,2024,1,15,月,ねぎ,31900,大　分,44,51561,387,,
302,2024,1,15,月,ふき,32300,,,5082,405,80.1,104.1
303,2024,1,15,月,ふき,32300,愛　知,23,4190,396,,
304,2024,1,15,月,うど,32400,,,1928,770,90.4,103.2
305,2024,1,15,月,うど,32400,栃　木,9,963,756,,
306,2024,1,15,月,うど,32400,群　馬,10,396,794,,
307,2024,1,15,月,うど,32400,青　森,2,379,723,,
308,2024,1,15,月,みつば,32500,,,11605,1083,92.3,171.9
309,2024,1,15,月,みつば,32500,愛　知,23,2012,635,,
310,2024,1,15,月,みつば,32500,千　葉,12,1966,408,,
311,2024,1,15,月,みつば,32500,静　岡,22,1375,614,,
312,2024,1,15,月,みつば,32500,大　分,44,1337,611,,
313,2024,1,15,月,みつば,32500,茨　城,8,1042,713,,
314,2024,1,15,月,しゅんぎく,32600,,,30538,496,97.4,89.4
315,2024,1,15,月,しゅんぎく,32600,福　岡,40,8906,372,,
316,2024,1,15,月,しゅんぎく,32600,千　葉,12,4006,613,,
317,2024,1,15,月,しゅんぎく,32600,群　馬,10,2690,608,,
318,2024,1,15,月,しゅんぎく,32600,栃　木,9,2118,629,,
319,2024,1,15,月,しゅんぎく,32600,大　阪,27,2022,427,,
320,2024,1,15,月,にら,32800,,,71945,845,108.7,101.6
321,2024,1,15,月,にら,32800,高　知,39,30639,884,,
322,2024,1,15,月,にら,32800,栃　木,9,15711,810,,
323,2024,1,15,月,にら,32800,大　分,44,5785,827,,
324,2024,1,15,月,にら,32800,茨　城,8,5469,742,,
325,2024,1,15,月,セルリー,32900,,,50558,236,93,95.5
326,2024,1,15,月,セルリー,32900,静　岡,22,21273,239,,
327,2024,1,15,月,セルリー,32900,福　岡,40,15498,236,,
328,2024,1,15,月,セルリー,32900,茨　城,8,4688,235,,
329,2024,1,15,月,アスパラガス,33100,,,4872,2742,99.1,97.5
330,2024,1,15,月,アスパラガス,33100,佐　賀,41,588,3487,,
331,2024,1,15,月,アスパラガス,33100,岩　手,3,297,2800,,
332,2024,1,15,月,アスパラガス,33100,群　馬,10,292,3054,,
333,2024,1,15,月,アスパラガス,33100,秋　田,5,270,2360,,
334,2024,1,15,月,アスパラガス,33100,北海道,1,36,3068,,
335,2024,1,15,月,　　うち輸入,33101,,,3358,2608,105.6,97.7
336,2024,1,15,月,カリフラワー,33200,,,38001,193,103,103.8
337,2024,1,15,月,カリフラワー,33200,熊　本,43,15920,178,,
338,2024,1,15,月,カリフラワー,33200,愛　知,23,6901,182,,
339,2024,1,15,月,カリフラワー,33200,徳　島,36,4763,251,,
340,2024,1,15,月,カリフラワー,33200,福　岡,40,3498,219,,
341,2024,1,15,月,ブロッコリー,33300,,,325393,332,102.5,105.1
342,2024,1,15,月,ブロッコリー,33300,香　川,37,66942,393,,
343,2024,1,15,月,ブロッコリー,33300,愛　知,23,51608,249,,
344,2024,1,15,月,ブロッコリー,33300,熊　本,43,48337,358,,
345,2024,1,15,月,ブロッコリー,33300,長　崎,42,43958,363,,
346,2024,1,15,月,ブロッコリー,33300,鳥　取,31,34416,341,,
347,2024,1,15,月,レタス,33400,,,669455,213,94.3,95.5
348,2024,1,15,月,レタス,33400,静　岡,22,174396,229,,
349,2024,1,15,月,レタス,33400,長　崎,42,108320,128,,
350,2024,1,15,月,レタス,33400,香　川,37,80912,206,,
351,2024,1,15,月,レタス,33400,兵　庫,28,76217,256,,
352,2024,1,15,月,レタス,33400,福　岡,40,73182,251,,
353,2024,1,15,月,パセリ,33600,,,3902,1121,94.9,94.4
354,2024,1,15,月,パセリ,33600,千　葉,12,1201,904,,
355,2024,1,15,月,パセリ,33600,静　岡,22,922,1215,,
356,2024,1,15,月,パセリ,33600,香　川,37,472,1058,,
357,2024,1,15,月,パセリ,33600,愛　知,23,352,1502,,
358,2024,1,15,月,パセリ,33600,茨　城,8,307,1525,,
359,2024,1,15,月,きゅうり,34100,,,535898,442,149,104.7
360,2024,1,15,月,きゅうり,34100,宮　崎,45,246528,463,,
361,2024,1,15,月,きゅうり,34100,高　知,39,91649,422,,
362,2024,1,15,月,きゅうり,34100,千　葉,12,44174,453,,
363,2024,1,15,月,きゅうり,34100,愛　知,23,32332,406,,
364,2024,1,15,月,きゅうり,34100,鹿児島,46,32149,414,,
365,2024,1,15,月,かぼちゃ,34200,,,206380,237,107.3,100.9
366,2024,1,15,月,かぼちゃ,34200,鹿児島,46,35380,353,,
367,2024,1,15,月,かぼちゃ,34200,宮　崎,45,19705,515,,
368,2024,1,15,月,かぼちゃ,34200,沖　縄,47,5805,341,,
369,2024,1,15,月,かぼちゃ,34200,熊　本,43,3574,410,,
370,2024,1,15,月,かぼちゃ,34200,北海道,1,777,181,,
371,2024,1,15,月,　　うち輸入,34201,,,139797,159,110.9,100.6
372,2024,1,15,月,なす,34300,,,188965,455,118.2,104.6
373,2024,1,15,月,なす,34300,高　知,39,96563,446,,
374,2024,1,15,月,なす,34300,熊　本,43,44250,455,,
375,2024,1,15,月,なす,34300,福　岡,40,25911,493,,
376,2024,1,15,月,トマト,34400,,,527661,293,101,103.5
377,2024,1,15,月,トマト,34400,熊　本,43,319841,265,,
378,2024,1,15,月,トマト,34400,栃　木,9,60592,258,,
379,2024,1,15,月,トマト,34400,愛　知,23,46455,336,,
380,2024,1,15,月,ミニトマト,34450,,,310839,424,122.7,97.5
381,2024,1,15,月,ミニトマト,34450,熊　本,43,199571,367,,
382,2024,1,15,月,ミニトマト,34450,愛　知,23,36330,559,,
383,2024,1,15,月,ミニトマト,34450,宮　崎,45,25776,401,,
384,2024,1,15,月,ピーマン,34500,,,221011,629,118.6,108.6
385,2024,1,15,月,ピーマン,34500,宮　崎,45,92393,671,,
386,2024,1,15,月,ピーマン,34500,鹿児島,46,57548,593,,
387,2024,1,15,月,ピーマン,34500,高　知,39,39527,583,,
388,2024,1,15,月,ししとうがらし,34600,,,6980,2063,120.1,98.6
389,2024,1,15,月,ししとうがらし,34600,高　知,39,5787,2183,,
390,2024,1,15,月,スイートコーン,34700,,,313,425,64.5,121.4
391,2024,1,15,月,スイートコーン,34700,沖　縄,47,313,425,,
392,2024,1,15,月,さやいんげん,35100,,,16617,988,112.2,100
393,2024,1,15,月,さやいんげん,35100,沖　縄,47,9355,980,,
394,2024,1,15,月,さやいんげん,35100,鹿児島,46,2404,1223,,
395,2024,1,15,月,さやいんげん,35100,高　知,39,1304,1365,,
396,2024,1,15,月,さやいんげん,35100,熊　本,43,186,1013,,
397,2024,1,15,月,さやいんげん,35100,長　崎,42,78,1007,,
398,2024,1,15,月,さやえんどう,35200,,,38798,879,109.6,103.7
399,2024,1,15,月,さやえんどう,35200,鹿児島,46,23737,828,,
400,2024,1,15,月,さやえんどう,35200,和歌山,30,4422,907,,
401,2024,1,15,月,さやえんどう,35200,愛　知,23,4113,1067,,
402,2024,1,15,月,　　うち輸入,35201,,,552,479,134.6,101.9
403,2024,1,15,月,実えんどう,35300,,,8520,667,128.4,103.7
404,2024,1,15,月,実えんどう,35300,鹿児島,46,5340,526,,
405,2024,1,15,月,実えんどう,35300,和歌山,30,3180,905,,
406,2024,1,15,月,そらまめ,35400,,,8849,580,91.7,104.5
