id,vegetable_name,nutrition_name,amount
120,アスパラガス,食物繊維,2.5
121,カリフラワー,ビタミンC,48
122,カリフラワー,ビタミンE,0.8
123,カリフラワー,βカロテン,0
124,カリフラワー,カルシウム,20
125,カリフラワー,カリウム,320
126,カリフラワー,食物繊維,2
127,ブロッコリー,ビタミンC,89
128,ブロッコリー,ビタミンE,1.5
129,ブロッコリー,βカロテン,6
130,ブロッコリー,カルシウム,60
131,ブロッコリー,カリウム,450
132,ブロッコリー,食物繊維,3.8
133,レタス,ビタミンC,10
134,レタス,ビタミンE,0.4
135,レタス,βカロテン,2
136,レタス,カルシウム,30
137,レタス,カリウム,200
138,レタス,食物繊維,1
139,パセリ,ビタミンC,133
140,パセリ,ビタミンE,1
141,パセリ,βカロテン,120
142,パセリ,カルシウム,150
143,パセリ,カリウム,400
144,パセリ,食物繊維,3.6
145,きゅうり,ビタミンC,8
146,きゅうり,ビタミンE,0.1
147,きゅうり,βカロテン,2
148,きゅうり,カルシウム,18
149,きゅうり,カリウム,300
150,きゅうり,食物繊維,1.5
151,かぼちゃ,ビタミンC,20
152,かぼちゃ,ビタミンE,1
153,かぼちゃ,βカロテン,750
154,かぼちゃ,カルシウム,40
155,かぼちゃ,カリウム,300
156,かぼちゃ,食物繊維,3
157,なす,ビタミンC,4
158,なす,ビタミンE,0.3
159,なす,βカロテン,0
160,なす,カルシウム,10
161,なす,カリウム,200
162,なす,食物繊維,2
163,トマト,ビタミンC,18
164,トマト,ビタミンE,0.5
165,トマト,βカロテン,50
166,トマト,カルシウム,18
167,トマト,カリウム,300
168,トマト,食物繊維,1.5
169,ミニトマト,ビタミンC,15
170,ミニトマト,ビタミンE,0.3
171,ミニトマト,βカロテン,30
172,ミニトマト,カルシウム,15
173,ミニトマト,カリウム,250
174,ミニトマト,食物繊維,1
175,ピーマン,ビタミンC,120
176,ピーマン,ビタミンE,1.2
177,ピーマン,βカロテン,50
178,ピーマン,カルシウム,20
179,ピーマン,カリウム,200
180,ピーマン,食物繊維,2
181,ししとうがらし,ビタミンC,120
182,ししとうがらし,ビタミンE,1.5
183,ししとうがらし,βカロテン,30
184,ししとうがらし,カルシウム,40
185,ししとうがらし,カリウム,200
186,ししとうがらし,食物繊維,1.5
187,スイートコーン,ビタミンC,6
188,スイートコーン,ビタミンE,0.4
189,スイートコーン,βカロテン,1
190,スイートコーン,カルシウム,10
191,スイートコーン,カリウム,250
192,スイートコーン,食物繊維,2
193,さやいんげん,ビタミンC,10
194,さやいんげん,ビタミンE,0.5
195,さやいんげん,βカロテン,20
196,さやいんげん,カルシウム,30
197,さやいんげん,カリウム,300
198,さやいんげん,食物繊維,3
199,さやえんどう,ビタミンC,50
200,さやえんどう,ビタミンE,0.7
201,さやえんどう,βカロテン,3
202,さやえんどう,カルシウム,25
203,さやえんどう,カリウム,350
204,さやえんどう,食物繊維,2.5
205,実えんどう,ビタミンC,60
206,実えんどう,ビタミンE,1
207,実えんどう,βカロテン,10
208,実えんどう,カルシウム,30
209,実えんどう,カリウム,400
210,実えんどう,食物繊維,4
211,そらまめ,ビタミンC,25
212,そらまめ,ビタミンE,1.5
213,そらまめ,βカロテン,10
214,そらまめ,カルシウム,50
215,そらまめ,カリウム,450
216,そらまめ,食物繊維,3
217,えだまめ,ビタミンC,15
218,えだまめ,ビタミンE,0.5
219,えだまめ,βカロテン,15
220,えだまめ,カルシウム,40
221,えだまめ,カリウム,500
222,えだまめ,食物繊維,5
223,かんしょ,ビタミンC,20
224,かんしょ,ビタミンE,0.2
225,かんしょ,βカロテン,3
226,かんしょ,カルシウム,30
227,かんしょ,カリウム,700
228,かんしょ,食物繊維,4.5
229,ばれいしょ,ビタミンC,30
230,ばれいしょ,ビタミンE,0.2
231,ばれいしょ,βカロテン,0
232,ばれいしょ,カルシウム,20
233,ばれいしょ,カリウム,500
234,ばれいしょ,食物繊維,2
235,さといも,ビタミンC,20
236,さといも,ビタミンE,0.2
237,さといも,βカロテン,0
238,さといも,カルシウム,60
239,さといも,カリウム,600
240,さといも,食物繊維,3
241,やまのいも,ビタミンC,12
242,やまのいも,ビタミンE,0.1
243,やまのいも,βカロテン,5
244,やまのいも,カルシウム,10
245,やまのいも,カリウム,200
246,やまのいも,食物繊維,2.5
247,たまねぎ,ビタミンC,8
248,たまねぎ,ビタミンE,0.1
249,たまねぎ,βカロテン,0
250,たまねぎ,カルシウム,30
251,たまねぎ,カリウム,150
252,たまねぎ,食物繊維,2
253,にんにく,ビタミンC,31
254,にんにく,ビタミンE,0.3
255,にんにく,βカロテン,0
256,にんにく,カルシウム,18
257,にんにく,カリウム,400
258,にんにく,食物繊維,1.5
259,しょうが,ビタミンC,5
260,しょうが,ビタミンE,0.3
261,しょうが,βカロテン,0
262,しょうが,カルシウム,15
263,しょうが,カリウム,350
264,しょうが,食物繊維,2.5
265,生しいたけ,ビタミンC,5
266,生しいたけ,ビタミンE,0.5
267,生しいたけ,βカロテン,2
268,生しいたけ,カルシウム,4
269,生しいたけ,カリウム,250
270,生しいたけ,食物繊維,2
271,なめこ,ビタミンC,4
272,なめこ,ビタミンE,0.2
273,なめこ,βカロテン,0
274,なめこ,カルシウム,3
275,なめこ,カリウム,180
276,なめこ,食物繊維,1.5
277,えのきだけ,ビタミンC,7
278,えのきだけ,ビタミンE,0.2
279,えのきだけ,βカロテン,0
280,えのきだけ,カルシウム,3
281,えのきだけ,カリウム,180
282,えのきだけ,食物繊維,3
283,しめじ,ビタミンC,6
284,しめじ,ビタミンE,0.1
285,しめじ,βカロテン,0
286,しめじ,カルシウム,2
287,しめじ,カリウム,250
288,しめじ,食物繊維,2
